Noise Type,Average PSNR,Average SSIM,Average VIF,Average Processing Time per Frame
Gaussian,42.73,0.9972,0.0929,0.0018
Gaussian,42.55,0.997,0.098,0.0018
Gaussian,42.08,0.9971,0.1144,0.0018
Gaussian,41.81,0.9961,0.1176,0.0018
Gaussian,42.08,0.9971,0.1134,0.0018
Gaussian,43.33,0.9984,0.0876,0.0018
Gaussian,41.51,0.9958,0.1238,0.0018
Gaussian,41.6,0.9963,0.1128,0.0018
Gaussian,42.33,0.9971,0.0964,0.0018
Gaussian,41.7,0.996,0.1138,0.0018
Gaussian,41.6,0.9962,0.1135,0.0018
Gaussian,41.61,0.9957,0.1217,0.0018
Gaussian,41.67,0.996,0.121,0.0018
Gaussian,42.24,0.9971,0.1107,0.0019
Gaussian,42.76,0.9985,0.0953,0.0019
Gaussian,41.68,0.996,0.119,0.0018
Gaussian,42.12,0.9969,0.1001,0.0018
Gaussian,42.6,0.997,0.0978,0.0019
Gaussian,42.87,0.9987,0.0868,0.0018
Gaussian,42.79,0.9984,0.0862,0.0018
Gaussian,42.66,0.997,0.0941,0.0018
Gaussian,43.18,0.9988,0.0872,0.0018
Gaussian,42.62,0.997,0.0979,0.0018
Gaussian,42.22,0.9968,0.1015,0.0018
Gaussian,41.62,0.9963,0.1128,0.0018
Gaussian,42.49,0.9971,0.0996,0.0019
Gaussian,42.35,0.9969,0.0947,0.0018
Gaussian,41.38,0.9958,0.1245,0.0018
Gaussian,42.93,0.9985,0.0882,0.0018
Gaussian,42.12,0.9968,0.1033,0.0018
Gaussian,43.05,0.9974,0.0887,0.0018
Gaussian,42.65,0.9972,0.0937,0.0018
Gaussian,42.89,0.9987,0.0846,0.0018
Gaussian,42.86,0.9983,0.0917,0.0018
Gaussian,43.36,0.9988,0.0872,0.0018
Gaussian,42.77,0.998,0.0913,0.0018
Gaussian,41.56,0.9961,0.1152,0.0018
Gaussian,42.73,0.9984,0.091,0.0019
Gaussian,42.57,0.9973,0.0876,0.0018
Gaussian,42.05,0.9967,0.1085,0.0018
Gaussian,43.29,0.9987,0.0863,0.0018
Gaussian,42.67,0.9978,0.0893,0.0018
Gaussian,42.49,0.9971,0.1003,0.0018
Gaussian,42.39,0.997,0.0931,0.0018
Gaussian,42.44,0.9973,0.0923,0.0018
Gaussian,43.01,0.9983,0.095,0.0018
Gaussian,42.89,0.9984,0.0912,0.0018
Gaussian,42.42,0.9972,0.0932,0.0018
Gaussian,42.42,0.9972,0.0944,0.0018
Gaussian,41.77,0.9966,0.1071,0.0018
Gaussian,42.57,0.9972,0.0975,0.0018
Gaussian,41.85,0.9964,0.1106,0.002
Gaussian,42.64,0.9973,0.0918,0.0018
Gaussian,42.96,0.9988,0.0827,0.0018
Gaussian,41.85,0.996,0.1117,0.0018
Gaussian,42.69,0.9973,0.091,0.0018
Gaussian,42.04,0.9968,0.1036,0.0018
Gaussian,43.43,0.9987,0.0898,0.0018
Gaussian,43.2,0.9988,0.0872,0.0018
Gaussian,42.35,0.9968,0.1012,0.0018
Gaussian,42.11,0.9965,0.1018,0.0018
Gaussian,42.96,0.9988,0.0828,0.0018
Gaussian,43.05,0.9974,0.0891,0.002
Gaussian,43.11,0.9988,0.0876,0.0018
Gaussian,43.07,0.9983,0.0913,0.0018
Gaussian,42.65,0.9972,0.0933,0.0018
